x,xdot,theta,thetadot,x,xdot,theta,thetadot,x.1,xdot.1,theta.1,thetadot.1,x.1.1,xdot.1.1,theta.1.1,thetadot.1.1
-4.0,-0.03201813438769947,-0.005208063599036417,-0.007632534429791692,-4.0,0.005680695605442696,-0.04039600887125061,-0.03899713820070964,-4.0,0.010643916415656596,-0.016880687235018378,0.04108949912842949,-4.0,0.006895266574949857,0.028161801052683275,-0.022556356346906083
-4.000640362687754,0.16317811904065738,-0.00536071428763225,-0.30195410749091867,-3.999886386087891,0.20135794304390647,-0.0411759516352648,-0.3441467536210989,-3.999787121671687,0.20600381462556908,-0.01605889725244979,-0.2568712835585968,-3.9998620946685017,0.20160226783195848,0.027710673925745152,-0.3062225760375465
-3.997376800306941,0.35837606198472965,-0.011399796437450625,-0.5963228572789299,-3.995859227227013,0.3970407316614545,-0.04805888670768678,-0.6495244518702598,-3.995667045379176,0.4013513147509782,-0.021196322923621724,-0.5545758640663427,-3.9958300493118615,0.3963186080182519,0.021586222404994214,-0.5900390586663751
-3.9902092790672468,0.5536556771642657,-0.02332625358302922,-0.8925747145913254,-3.9879184125937837,0.5927980264466924,-0.06104937574509198,-0.9569452345587104,-3.987640019084156,0.5967643785378918,-0.032287840204948584,-0.8538608675389867,-3.987903677151496,0.5911317675482324,0.009785441231666721,-0.8758448619841123
-3.9791361655239617,0.35885776247119894,-0.04117774787485573,-0.6073146298225245,-3.97606245206485,0.3985478386596324,-0.08018828043626619,-0.6840501353705071,-3.9757047315133978,0.4020970424449086,-0.04936505755572832,-0.5715030321309849,-3.976081041800532,0.395878178983443,-0.007731456008015527,-0.5801016275759231
-3.9719590102745377,0.5545305193411852,-0.05332404047130622,-0.9126777991488302,-3.9680914952916577,0.2046254585196869,-0.09386928314367632,-0.4176513751506632,-3.9676627906645,0.5978752065256957,-0.060795118198348014,-0.879319963777203,-3.968163478220864,0.5911076140081568,-0.01933348855953399,-0.8752100531376836
-3.960868399887714,0.3601689501208856,-0.07157759645428283,-0.6372196800027863,-3.9639989861212634,0.4009435846299975,-0.1022223106466896,-0.7383891903370869,-3.9557052865339855,0.4036296347978672,-0.07838151747389208,-0.6063526522512007,-3.9563413259407003,0.39625374560840704,-0.03683768962228767,-0.5886675652906228
-3.9536650208852966,0.5562122281459356,-0.08432199005433855,-0.9515574683320152,-3.9559801144286637,0.20737066926070769,-0.11699009445343135,-0.4795465841975311,-3.947632693838029,0.5997550218161246,-0.09050857051891607,-0.9226580766993032,-3.948416251028532,0.5918716593460986,-0.04861104092810012,-0.8927231974616461
-3.942540776322378,0.3623200888407453,-0.10335313942097885,-0.6865139032707246,-3.9518327010434504,0.4039330210080189,-0.12658102613738195,-0.806691379594775,-3.9356375934017054,0.4059647919176078,-0.10896173205290216,-0.6597357422228957,-3.93657881784161,0.3974415742672568,-0.06646550487733302,-0.6157086036596499
-3.9352943745455633,0.16877314068921936,-0.11708341748639334,-0.42807443961844605,-3.9437540406232894,0.2107522259298815,-0.14271485372927745,-0.5563540761275096,-3.9275182975633536,0.2125143868739064,-0.12215644689736008,-0.4032524062939847,-3.9286299863562646,0.5934261115055978,-0.07877967695052603,-0.9285627773747857
-3.931918911731779,0.36534178015093455,-0.12564490627876226,-0.7552526382897997,-3.939538996104692,0.4075589711077885,-0.15384193525182766,-0.8903788239783843,-3.923268009825875,0.4091379113695007,-0.13022149502323974,-0.7318146295013126,-3.9167614641261537,0.3994510113995456,-0.09735093249802174,-0.6616398271170045
-3.9246120761287604,0.17215510142218582,-0.14074995904455825,-0.5045994265341416,-3.931387816682536,0.2148213223283637,-0.1716495117313953,-0.6497381288607911,-3.9150852515984855,0.21603289200796932,-0.144857787613266,-0.4827865925952696,-3.9087724438981617,0.20580875697379847,-0.11058372904036183,-0.4011277366175811
-3.9211689741003166,0.36895082390152745,-0.15084194757524108,-0.8381178552778006,-3.9270913902359688,0.4118659129210844,-0.18464427430861116,-0.9911789780179102,-3.910764593758326,0.4128704341534996,-0.1545135194651714,-0.8173899246507834,-3.9046562687586857,0.402311306540006,-0.11860628377271346,-0.7265265538007669
-3.913789957622286,0.17617504027019593,-0.1676043046807971,-0.5964172082563429,-3.9188540719775466,0.21963041355035987,-0.20446785386896932,-0.7617047448826411,-3.902507185075256,0.2201629868122629,-0.17086131795818707,-0.5770189122550436,-3.8966100426278856,0.20901153743361905,-0.1331368148487288,-0.4734024856767369
-3.910266456816882,0.373196835264745,-0.17953264884592396,-0.9368539615686624,-3.91446146370654,0.027823466125000057,-0.21970194876662216,-0.5396831311600083,-3.8981039253390097,0.41721584751888974,-0.18240169620328794,-0.9182833484204102,-3.8924298118792127,0.4057377124647943,-0.14260486456226354,-0.8049070104024825
-3.902802520111587,0.18089045745602964,-0.1982697280772972,-0.705530239410078,-3.91390499438404,0.2252477880511622,-0.23049561138982236,-0.8927752097242901,-3.889759608388633,0.2249657894718416,-0.20076736317169613,-0.6880213828165657,-3.884315057629917,0.21282858783315006,-0.15870300477031318,-0.5602644848807401
-3.899184710962466,-0.011012811840725362,-0.21238033286549876,-0.48122487670754965,-3.909400038623017,0.03386887479295045,-0.2483511155843081,-0.6804661109449469,-3.8852602925991966,0.033112564517482346,-0.21452779082802745,-0.4646518116174629,-3.880058485873254,0.4097802198298556,-0.169908294467928,-0.8984423894146019
-3.8994049671992808,0.1863748730623205,-0.22200483039964974,-0.8326255064719468,-3.9087226611271584,-0.1571027670800662,-0.2619604378032071,-0.4750644004116196,-3.8845980413088466,0.23051816294532365,-0.2238208270603767,-0.8165610291026307,-3.8718628814766567,0.21731786468556435,-0.18787714225622004,-0.663619001037979
-3.8956774697380343,-0.005136340170192266,-0.23865734052908869,-0.6171433895650335,-3.91186471646876,0.04057942237006085,-0.2714617258114395,-0.8376100686613495,-3.87998767804994,0.0390458201023085,-0.2401520476424293,-0.6017717838558133,-3.8675165241829457,0.02523742989267952,-0.2011495222769797,-0.4354799262982483
-3.895780196541438,0.19238429579932162,-0.25100020832038933,-0.9745277126023565,-3.9110531280213583,-0.15001865093036235,-0.2882139271846665,-0.6410156534656877,-3.8792067616478936,0.2365792840812428,-0.2521874833195456,-0.9594966960292408,-3.867011775585092,0.22255367461374634,-0.2098591208029446,-0.7842266940909455
-3.8919325106254514,0.001344951078725093,-0.2704907625724365,-0.7699698180591974,-3.9140535010399655,0.04772862353791768,-0.30103424025398023,-1.008968506965445,-3.874475175966269,0.045568739333572916,-0.2713774172401304,-0.7554034024958503,-3.862560702092817,0.030837612449719193,-0.2255436546847635,-0.5642085994234506
-3.891905611603877,-0.18924310216903334,-0.2858901589336204,-0.5730405351918131,-3.913098928569207,-0.14240357122607664,-0.3212136103932891,-0.8237688654265649,-3.8735638011795976,-0.14499684407431698,-0.2864854852900474,-0.5588255971075066,-3.8619439498438224,0.2282935591791417,-0.2368278266732325,-0.9186400381643722
-3.8956904736472575,0.00851796790287182,-0.29735096963745666,-0.9405531613049029,-3.9159469999937286,-0.3320550396012389,-0.33768898770182043,-0.6466630195335974,-3.876463738061084,0.05277095058506477,-0.29766199723219755,-0.9264659528350532,-3.85737807866024,0.037019730027839926,-0.25520062743651994,-0.7087161333519916
