x,xdot,theta,thetadot,x,xdot,theta,thetadot,x.1,xdot.1,theta.1,thetadot.1,x.1.1,xdot.1.1,theta.1.1,thetadot.1.1,x.1.1.1,xdot.1.1.1,theta.1.1.1,thetadot.1.1.1,x.1.1.1.1,xdot.1.1.1.1,theta.1.1.1.1,thetadot.1.1.1.1,x.1.1.1.1.1,xdot.1.1.1.1.1,theta.1.1.1.1.1,thetadot.1.1.1.1.1,x.1.1.1.1.1.1,xdot.1.1.1.1.1.1,theta.1.1.1.1.1.1,thetadot.1.1.1.1.1.1,x.1.1.1.1.1.1.1,xdot.1.1.1.1.1.1.1,theta.1.1.1.1.1.1.1,thetadot.1.1.1.1.1.1.1,x.1.1.1.1.1.1.1.1,xdot.1.1.1.1.1.1.1.1,theta.1.1.1.1.1.1.1.1,thetadot.1.1.1.1.1.1.1.1
-4.0,0.036280940180144355,0.04385958829257269,-0.016398753788636068,-4.0,-0.0284205840951261,-0.019772802076281584,-0.03361501669625398,-4.0,-0.028396036003289563,0.015257428634817022,0.0239078969867642,-4.0,-0.0370870957839157,-0.017240728848937306,0.02056366838064119,-4.0,0.027096968549194828,-0.004913221974378268,-0.03973045256676847,-4.0,0.006958852768334621,0.029717374862776414,0.03331440486479505,-4.0,-0.018185817401146862,0.012320752166557413,-0.01973011970822152,-4.0,0.03703581313665494,0.04743206888497138,-0.04067788595773625,-4.0,0.04144987540855409,-0.04896571787350969,-0.004410058188873482,-4.0,-0.041252478998070524,0.03388128046444773,0.00926878236522142
-3.9992743811963973,-0.15944167241225363,0.04353161321679997,0.2897934172037977,-4.000568411681902,-0.22325348722014865,-0.020445102410206663,0.2527643853818658,-4.000567920720067,-0.22373343162048345,0.015735586574552304,0.32136539674181863,-4.000741741915679,-0.2319576079176879,-0.016829455481324484,0.3077574715989956,-3.999458060629016,-0.16795418405686122,-0.005707831025713637,0.25139826353596817,-3.999860822944633,-0.18857637453314446,0.030383662960072312,0.3352233665046792,-4.000363716348023,-0.21348227455337884,0.01192614977239298,0.2768145411558312,-3.9992592837372674,-0.15873308376654113,0.04661851116581665,0.2665849904225481,-3.999171002491829,-0.15293688321092042,-0.04905391903728715,0.2724304282182365,-4.000825049579961,-0.23684354022441595,0.034066656111752164,0.3124461858137809
-4.002463214644642,-0.3551564563506412,0.04932748156087592,0.5958817297378758,-4.005033481426305,-0.4180776237708822,-0.015389814702569346,0.5389290732868345,-4.005042589352476,-0.4190758926612945,0.022162894509388683,0.6189688842223084,-4.005380894074031,-0.4268357624225924,-0.010674306049344572,0.5950856813944412,-4.0028171443101535,-0.362994165403365,-0.0006798657549942737,0.5422753766543267,-4.003632350435296,-0.3841172687602455,0.037088130290165895,0.6373307531518055,-4.00463336183909,-0.4087723241044483,0.017462440595509603,0.5732349881203911,-4.002433945412598,-0.3544883066925407,0.05195021097426762,0.5735996869616633,-4.002229740156047,-0.3473258093658333,-0.043605310472922425,0.5492470020962865,-4.00556192038445,-0.4324338327159055,0.040315579828027776,0.6156750584417343
-4.009566343771655,-0.5509327804522661,0.06124511615563344,0.9036854151848435,-4.0133950339017215,-0.6129798806350087,-0.0046112332368326596,0.8267234109248465,-4.013424107205702,-0.6145002822222021,0.034542272193834836,0.9185488356317072,-4.013917609322483,-0.6218067024568104,0.0012274075785442522,0.8843872438607641,-4.0100770276182205,-0.5581065548040687,0.010165641778092259,0.8347440126005521,-4.011314695810501,-0.5797362566447971,0.04983474535320201,0.9414588590598464,-4.01280880832118,-0.604134704907539,0.028927140357917425,0.8713675771882732,-4.009523711546448,-0.550298659233557,0.06342220471350088,0.8821854545157253,-4.009176256343364,-0.5418089776346622,-0.03262037043099668,0.8278785533808484,-4.014210597038768,-0.6280951800051133,0.05262908099686246,0.9207781685604346
-4.0205849993807,-0.7468284177361986,0.0793188244593303,1.214972754779006,-4.0256546315144215,-0.8080384722433805,0.01192323498166427,1.1179524898586024,-4.025714112850146,-0.8100717307108813,0.05291324890646898,1.2218844221092793,-4.0263537433716206,-0.8169452983781192,0.01891515245575953,1.1774557749937211,-4.021239158714302,-0.7533658992502976,0.026860522030103303,1.130606542992321,-4.022909420943397,-0.775493109294648,0.06866392253439893,1.2493749430289431,-4.0248915024193295,-0.7996378902273942,0.046354491901682886,1.173003062176373,-4.0205296847311205,-0.7462220313647799,0.08106591380381539,1.1941132831072814,-4.0200124358960565,-0.7364700941110632,-0.016062799363379725,1.1101262012093225,-4.02677250063887,-0.8238873595303253,0.07104464436807115,1.22952560779611
-4.035521567735424,-0.552814265278793,0.10361827955491043,0.9481618122348126,-4.04181540095929,-1.0033148346196772,0.03428228477883632,1.4143515608143928,-4.041915547464364,-1.005834015645524,0.07735093734865459,1.5306661092148581,-4.042692649339182,-1.012307759162005,0.04246426795563396,1.4760077679276202,-4.036306476699306,-0.9488290744730872,0.049472652889949724,1.4315915879001642,-4.03841928312929,-0.5813152055089892,0.0936514213949778,0.9789657746226946,-4.040884260223878,-0.9953307321495032,0.06981455314521035,1.4798503524688806,-4.035454125358416,-0.5522380215439725,0.10494817946596102,0.9279001288680379,-4.034741837778278,-0.9313773533873192,0.006139724660806721,1.3977271144642225,-4.0432502478294765,-0.6297477532372588,0.09563515652399336,0.9599203650971292
-4.046577853041,-0.3592285589211974,0.12258151579960669,0.6897500089311075,-4.061881697651684,-1.1988443585077004,0.06256931599512418,1.7175505303739595,-4.062032227777274,-0.8117251485681395,0.10796425953295176,1.2630919187740148,-4.062938804522422,-0.8177295044783455,0.07198442331418636,1.1968842391251713,-4.055283058188769,-0.7543513980454182,0.07810448464795301,1.154771022302974,-4.0500455872394685,-0.3875650534183416,0.11323073688743167,0.7171073804504621,-4.060790874866869,-0.801126881144296,0.09941156019458797,1.2097630192079578,-4.046498885789295,-0.35867757955124746,0.12350618204332175,0.6699550786264422,-4.053369384846024,-1.1265751144429268,0.03409426695009117,1.6923233051113438,-4.055845202894221,-0.4360324046495313,0.11483356382593593,0.6987490282082526
-4.053762424219424,-0.16600168129910053,0.13637651597822883,0.4380333489189698,-4.085858584821838,-1.004493044621393,0.09692032660260336,1.4449774041947112,-4.078266730748637,-0.6181363109395991,0.13322609790843204,1.006079277121562,-4.079293394611988,-0.6236093088373038,0.0959221080966898,0.927603180650422,-4.070370086149677,-0.5603299493621338,0.1011999050940125,0.8875654704040965,-4.057796888307837,-0.5840568182189585,0.1275728844964409,1.0431763466991708,-4.076813412489755,-0.607419166689255,0.12360682057874713,0.9498149082571559,-4.05367243738032,-0.16546953634611627,0.13690528361585064,0.4185691449002361,-4.075900887134884,-0.9318630563778004,0.06794073305231804,1.4104467269599483,-4.064565850987212,-0.6325434391224968,0.12880854439010098,1.0252611255560284
-4.057082457845406,-0.3627637495006789,0.14513718295660824,0.770406612259094,-4.105948445714266,-0.8106880554301641,0.1258198746864976,1.1840842256224366,-4.090629456967429,-0.4250206387817045,0.15334768345086328,0.7580254117246321,-4.091765580788735,-0.4299042107273857,0.11447417170969824,0.6665390997512827,-4.0815766851369215,-0.3667164124945311,0.11895121450209442,0.6283330675816099,-4.069478024672215,-0.3908384357700062,0.14843641143042433,0.7931088005693652,-4.08896179582354,-0.4141583596120893,0.14260311874389026,0.6983833892633753,-4.056981828107244,-0.3622389637189122,0.14527666651385535,0.7510860942211898,-4.094538148262439,-0.7376462146835048,0.096149667591517,1.1397527884023484,-4.077216719769663,-0.4393499413578025,0.14931376690122156,0.7756366834846847
-4.06433773283542,-0.16990559928567397,0.16054531520179013,0.5266816137032962,-4.1221622068228685,-0.6174026230005902,0.14950155919894634,0.9333414470580796,-4.099129869743063,-0.23230697504836256,0.1685081916853559,0.5172548114415985,-4.1003636650032815,-0.6264164700270293,0.1278049537047239,0.9929601742253076,-4.0889110133868085,-0.5632799944396075,0.13151787585372662,0.9559842017219544,-4.077294793387615,-0.19803195537125606,0.16429858744181164,0.5505595905669283,-4.097244963015782,-0.22127137586944845,0.15657078652915776,0.4537731581032001,-4.064226607381621,-0.16938735557289938,0.16029838839827915,0.5074172206404464,-4.1092910725561085,-0.5439036926168459,0.11894472335956398,0.8787057651162933,-4.086003718596818,-0.246562535677076,0.16482650057091525,0.5334084926247173
