x,xdot,theta,thetadot,x,xdot,theta,thetadot,x.1,xdot.1,theta.1,thetadot.1,x.1.1,xdot.1.1,theta.1.1,thetadot.1.1,x.1.1.1,xdot.1.1.1,theta.1.1.1,thetadot.1.1.1,x.1.1.1.1,xdot.1.1.1.1,theta.1.1.1.1,thetadot.1.1.1.1,x.1.1.1.1.1,xdot.1.1.1.1.1,theta.1.1.1.1.1,thetadot.1.1.1.1.1,x.1.1.1.1.1.1,xdot.1.1.1.1.1.1,theta.1.1.1.1.1.1,thetadot.1.1.1.1.1.1,x.1.1.1.1.1.1.1,xdot.1.1.1.1.1.1.1,theta.1.1.1.1.1.1.1,thetadot.1.1.1.1.1.1.1,x.1.1.1.1.1.1.1.1,xdot.1.1.1.1.1.1.1.1,theta.1.1.1.1.1.1.1.1,thetadot.1.1.1.1.1.1.1.1
-4.0,0.04071346827124593,-0.044229017097824265,-0.01721770913218431,-4.0,-0.015208135668141012,-0.009826152419118696,-0.036101021567778814,-4.0,-0.0491487378393522,0.04935696995732945,0.021615804659886148,-4.0,0.042081471583696815,-0.02967037164000752,-0.02999058193669856,-4.0,0.00019987892050286202,-0.026728594877557108,0.04956936600553606,-4.0,0.046997086801530114,0.049673838601316335,0.027461292881594185,-4.0,-0.048764556915020574,-0.019890643655712126,-0.04337188139003738,-4.0,0.005833503757125861,-0.012487927021323328,-0.028210628121701005,-4.0,-0.01778400158257115,-0.029708577659321563,-0.02357422937749031,-4.0,-0.040183664703193685,0.0025102601880229725,0.02564268443067451
-3.9991857306345753,0.2364408910546708,-0.04457337128046795,-0.32352081966353696,-4.0003041627133635,0.18005333593910605,-0.010548172850474272,-0.3318679315648629,-4.000982974756787,0.1452319131235393,0.049789286050527175,-0.2550950361485541,-3.9991583705683262,0.23761607207429256,-0.030270183278741487,-0.3318852002232909,-3.99999600242159,0.1956946937403937,-0.02573720755744639,-0.2514253849846703,-3.999060058263969,0.2413727850202485,0.050223064458948224,-0.2491445099288048,-4.0009752911383005,0.1466368875569911,-0.020758081283512874,-0.3422635325128331,-3.999883329924857,0.20113229340036648,-0.013052139583757349,-0.3248073256135386,-4.000355680031651,0.1777511233260692,-0.030180062246871364,-0.3254805289151676,-4.000803673294064,0.1549021975235534,0.003023113876636463,-0.26624717120329355
-3.9944569128134817,0.43216825833886874,-0.05104378767373869,-0.629920499922219,-3.996703095994581,0.3753238291021093,-0.017185531481771533,-0.6278584818460138,-3.998078336494317,0.3396089236575504,0.04468738532755609,-0.5316672321186324,-3.9944060491268414,0.4331555185374284,-0.036907887283207305,-0.6339580778074023,-3.9960821085467817,0.3911745315521836,-0.030765715257139795,-0.5521139357914313,-3.994232602563564,0.4357428714505446,0.045240174260372135,-0.5255726395212965,-3.998042553387161,0.3420479220638332,-0.02760335193376954,-0.6414193725024543,-3.9958606840568502,0.3964376323784217,-0.019548286096028118,-0.6215776005987894,-3.99680065756513,0.3732894912798656,-0.03668967282517471,-0.6275261048191687,-3.9977056293435926,0.3499808717508989,-0.002301829547429409,-0.5579750512695877
-3.9858135476467043,0.6279639348412553,-0.06364219767218307,-0.9382318509446568,-3.9891966194125374,0.5706813670398173,-0.029742701118691806,-0.9259038143350324,-3.991286158021165,0.5340747685543132,0.03405404068518344,-0.8099410731826211,-3.9857429387560916,0.6287723452238931,-0.04958704883935535,-0.9380319452669406,-3.988258617915738,0.5867147431601804,-0.041807993972968416,-0.8543291441984359,-3.985517745134554,0.6301999834879788,0.0347287214699462,-0.8036637911438458,-3.991201594945884,0.5375435700243278,-0.040431739383818624,-0.9426654887605708,-3.987931931409282,0.5918270326282713,-0.03197983810800392,-0.9203525339233816,-3.9893348677395326,0.5689038027099669,-0.04924019492155809,-0.9315344459961444,-3.9907060119085753,0.5451350596359479,-0.013461330572821164,-0.8513822948803097
-3.973254268949879,0.8238835406920721,-0.08240683469107621,-1.2502144842332217,-3.977782992071742,0.7661920963642059,-0.04826077740539245,-1.2277832670806306,-3.9806046626500784,0.7287139933878031,0.017855219221531018,-1.0917206847379486,-3.9731674918516133,0.8245265411139404,-0.06834768774469416,-1.2458749302858814,-3.976524323052535,0.7823808116655024,-0.058894576856937136,-1.1598597493392038,-3.9729137454647936,0.8248289842229074,0.01865544564706928,-1.0852230638998015,-3.9804507235453976,0.7331863084274826,-0.05928504915903005,-1.2477734554010451,-3.9760953907567163,0.7873662579136465,-0.05038688878647154,-1.2229118695728407,-3.977956791685333,0.7646544200157981,-0.06787088384148098,-1.2392752496542838,-3.9798033107158566,0.7404379341389733,-0.03048897647042736,-1.148267575952172
-3.9567765981360377,1.019959253672892,-0.10741112437574064,-1.5675301703485671,-3.9624591501444577,0.9619008275124499,-0.07281644274700505,-1.5351877222484036,-3.966030382782322,0.9235961440976956,-0.0039791944732279535,-1.3787481588966033,-3.956676961029336,1.0204553607014315,-0.09326518635041177,-1.55916055862826,-3.9608767068192248,0.9782185474983548,-0.08209177184372121,-1.4704120400939042,-3.9564171657803353,1.0196999228269268,-0.0030490156309267505,-1.371994225327203,-3.965786997376848,0.9290162005830732,-0.08424051826705095,-1.5584218259247216,-3.9603480655984433,0.9830997927413933,-0.07484512617792835,-1.5309470265900158,-3.962663703285017,0.960579200049094,-0.09265638883456664,-1.5524245140223178,-3.964994552033077,0.9359443634540664,-0.053454327989470786,-1.4503532970676944
-3.93637741306258,1.2161878069971266,-0.13876172778271198,-1.8916948774095572,-3.943221133594209,1.1578202290480937,-0.10352019719197313,-1.8496771815890911,-3.947558459900368,1.1187675563426571,-0.03155415765116002,-1.6726728395984702,-3.9362678538153055,1.216561798750257,-0.12444839752297696,-1.8794220148116465,-3.9413123358692577,1.1742431214213087,-0.1115000126455993,-1.7875665735895867,-3.9360231673237966,1.2148598689914163,-0.030488900137470805,-1.6656291930537814,-3.9472066733651854,1.1250396641737277,-0.1154089547855454,-1.876151763000248,-3.9406860697436152,1.1790399813567414,-0.10546406670972867,-1.8460184102318584,-3.9434521192840353,1.1566820042503825,-0.123704879115013,-1.8725189529578392,-3.9462756647639954,1.1316809359450306,-0.08246139393082469,-1.7592468768354763
-3.9120536569226374,1.4125166268153575,-0.17659562533090312,-2.2240226010621735,-3.920064729013247,1.3539180908931745,-0.14051374082375495,-2.1726298875391845,-3.9251831087735156,1.3142413880414665,-0.06500761444312943,-1.9750130124131404,-3.911936617840302,1.4128011614286902,-0.1620368378192099,-2.207998030746477,-3.917827473440832,1.370426323708782,-0.14725134411739105,-2.112727144305607,-3.911725969943968,1.4103230038042855,-0.06380148399854642,-1.9676499808486227,-3.924705880081712,1.3212163031466182,-0.15293199004555036,-2.2023141668649937,-3.91710527011648,1.3751542503554064,-0.14238443491436584,-2.1695043324308334,-3.9203184791990284,1.3529193152812964,-0.1611552581741698,-2.2009020869648,-3.923642046045096,1.3276341671774479,-0.11764633146753425,-2.076394129276644
-3.88380332438633,1.6088278004750727,-0.22107607735214657,-2.5655593355821353,-3.892986367195384,1.5501022637202737,-0.18396633857453865,-2.5051810442355498,-3.8988982810126864,1.5099853619648784,-0.10450787469139224,-2.2871075628422126,-3.8836805946117283,1.6090653916702973,-0.20619679843413946,-2.5459686358126303,-3.8904189469666566,1.5666816260996763,-0.1895058870035032,-2.4470599292172905,-3.8835195098678814,1.6060584311510806,-0.10315448361551888,-2.279400662754963,-3.89828155401878,1.5174434451175631,-0.19697827338285026,-2.5380064809832406,-3.8896021851093723,1.5713500222403882,-0.18577452156298246,-2.502539594369652,-3.8932600928934016,1.54918461179247,-0.20517329991346567,-2.5386602203711166,-3.8970893627015455,1.523736419635906,-0.15917421405306711,-2.4030225062250183
-3.851626768376829,1.8049199754989387,-0.27238726406378927,-2.9170070899742946,-3.861984321920978,1.746203214967761,-0.23406995945924966,-2.848150461074926,-3.868698573773389,1.7059068531576058,-0.1502500259482365,-2.610055800107627,-3.851499286778322,1.8051651864525744,-0.2571161711503921,-2.8940804466756678,-3.859085314444662,1.7628469471112709,-0.238447085587849,-2.7914219698535683,-3.851398341244861,1.8019753385270183,-0.14874249687061813,-2.60198753021492,-3.867932685116428,1.7135383892108351,-0.24773840300251504,-2.8839987355551235,-3.858175184664564,1.7674572624039468,-0.23582531345037555,-2.845943059816813,-3.862276400657552,1.7452905288344245,-0.2559465043208881,-2.8865479444141746,-3.866614634308828,1.7198493338255691,-0.20723466417756747,-2.7400729949010096
